Iter;Clusters;Max Iter;Soma Quadrados;Coesão;Coef.Silhueta;Rand Score;Homogeneidade;Completude
1;2;1;9777.3761;49.4403;0.6219;0.9753;0.9031;0.9031
2;2;10;9777.3761;49.4403;0.6219;0.9753;0.9031;0.9031
3;2;50;9777.3761;49.4403;0.6219;0.9753;0.9031;0.9031
4;2;100;9777.3761;49.4403;0.6219;0.9753;0.9031;0.9031
5;3;1;8062.639;29.9307;0.4233;0.846;0.874;0.5785
6;3;10;8062.639;29.9307;0.4233;0.846;0.874;0.5785
7;3;50;8062.639;29.9307;0.4233;0.846;0.874;0.5785
8;3;100;8062.639;29.9307;0.4233;0.846;0.874;0.5785
9;4;1;6499.6339;20.1551;0.3136;0.7364;0.8877;0.446
10;4;10;6499.6339;20.1551;0.3136;0.7364;0.8877;0.446
11;4;50;6499.6339;20.1551;0.3136;0.7364;0.8877;0.446
12;4;100;6499.6339;20.1551;0.3136;0.7364;0.8877;0.446
